instance_name,instance_size,solver,replication,total_distance,total_time,feasible_solution
cvrp-3-rj-111,6109,lkh-3,1,5481.9414,2287.828217567003,True
cvrp-3-rj-103,6538,ortools,1,-1.0,523.9413487570127,False
cvrp-3-rj-103,6538,lkh-3,1,4997.5452,1486.8390125660226,True
cvrp-3-rj-95,4821,ortools,1,-1.0,343.22353034099797,False
cvrp-3-rj-95,4821,lkh-3,1,-1.0,854.6074842449743,False
cvrp-3-rj-97,4984,ortools,1,-1.0,343.38579518802,False
cvrp-3-rj-97,4984,lkh-3,1,3857.4742,1099.9886501339497,True
cvrp-3-rj-104,4941,ortools,1,-1.0,342.75887750304537,False
cvrp-3-rj-104,4941,lkh-3,1,3659.8408,653.9464743069839,True
cvrp-3-rj-112,5768,ortools,1,-1.0,394.27540837804554,False
cvrp-3-rj-112,5768,lkh-3,1,4582.3037,1229.6113405239885,True
cvrp-3-rj-105,6557,ortools,1,-1.0,512.2810709720361,False
cvrp-3-rj-105,6557,lkh-3,1,-1.0,1305.763720181014,False
cvrp-3-rj-117,6360,ortools,1,-1.0,487.9920989120146,False
cvrp-3-rj-117,6360,lkh-3,1,5126.626,2657.420260183979,True
cvrp-3-rj-114,6249,ortools,1,-1.0,474.19621337298304,False
cvrp-3-rj-114,6249,lkh-3,1,5180.7691,2173.5359683160204,True
cvrp-3-rj-118,6270,ortools,1,-1.0,473.34927598398644,False
cvrp-3-rj-118,6270,lkh-3,1,5055.9822,2532.057111297967,True
cvrp-3-rj-94,5565,ortools,1,-1.0,369.65988568397006,False
cvrp-3-rj-94,5565,lkh-3,1,4322.4093,1464.5651882310049,True
cvrp-3-rj-92,6085,ortools,1,-1.0,440.59727274498437,False
cvrp-3-rj-92,6085,lkh-3,1,3643.2031,599.6107477780315,True
cvrp-3-rj-90,5858,ortools,1,-1.0,408.2892367670429,False
cvrp-3-rj-90,5858,lkh-3,1,4256.7291,767.4058576750103,True
cvrp-3-rj-96,5886,ortools,1,-1.0,408.48380529298447,False
cvrp-3-rj-96,5886,lkh-3,1,4673.9776,1512.0477554430254,True
cvrp-3-rj-116,5454,ortools,1,-1.0,359.68760064599337,False
cvrp-3-rj-116,5454,lkh-3,1,4372.0777,1310.6686390449759,True
cvrp-3-rj-91,5924,ortools,1,-1.0,425.5757268210291,False
cvrp-3-rj-91,5924,lkh-3,1,-1.0,1824.1330012319959,False
cvrp-3-rj-113,6512,ortools,1,-1.0,517.2533176119905,False
cvrp-3-rj-113,6512,lkh-3,1,-1.0,1196.8608147380291,False
cvrp-3-rj-98,6105,ortools,1,-1.0,448.2483172810171,False
cvrp-3-rj-98,6105,lkh-3,1,4248.3339,772.1822707090178,True
cvrp-3-rj-93,6263,ortools,1,-1.0,471.4617964749923,False
cvrp-3-rj-93,6263,lkh-3,1,4602.9391,1505.4488000050187,True
