instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-4-rj-104,4762,lkh-3,1,4356.7266,791.9801689400338,155,True
cvrp-4-rj-117,6264,ortools,1,-1.0,667.9405463750008,-1,False
cvrp-4-rj-117,6264,lkh-3,1,7702.1789,4295.264924220974,195,True
cvrp-4-rj-100,5692,ortools,1,-1.0,554.6317705380498,-1,False
cvrp-4-rj-100,5692,lkh-3,1,7280.7577,1968.936650949996,175,True
cvrp-4-rj-98,6026,ortools,1,-1.0,614.8728506430052,-1,False
cvrp-4-rj-98,6026,lkh-3,1,7145.7818,2147.9627084849635,189,True
cvrp-4-rj-101,4912,ortools,1,-1.0,411.27317218098324,-1,False
cvrp-4-rj-101,4912,lkh-3,1,4539.2749,858.6347127360059,156,True
cvrp-4-rj-103,6371,ortools,1,-1.0,690.2169030599762,-1,False
cvrp-4-rj-103,6371,lkh-3,1,8060.141,2976.4959278278984,196,True
cvrp-4-rj-112,5744,ortools,1,-1.0,560.8165058470331,-1,False
cvrp-4-rj-112,5744,lkh-3,1,6725.5224,1583.9866331439698,180,True
cvrp-0-rj-116,3886,ortools,1,-1.0,253.12152690801304,-1,False
cvrp-0-rj-116,3886,lkh-3,1,4006.9715,667.7289968200494,125,True
cvrp-0-rj-96,4234,ortools,1,-1.0,306.6002862260211,-1,False
cvrp-0-rj-96,4234,lkh-3,1,7151.0046,1380.2177008829312,134,True
cvrp-0-rj-95,3486,ortools,1,-1.0,205.08926834107842,-1,False
cvrp-0-rj-95,3486,lkh-3,1,6117.881,563.9227352609159,110,True
cvrp-0-rj-115,4571,ortools,1,-1.0,352.12248807109427,-1,False
cvrp-0-rj-115,4571,lkh-3,1,8332.3009,1943.429967854987,143,True
cvrp-0-rj-105,4643,ortools,1,-1.0,363.8177036389243,-1,False
cvrp-0-rj-105,4643,lkh-3,1,8490.6434,1246.33471650898,143,True
cvrp-0-rj-103,4666,ortools,1,-1.0,367.6899350939784,-1,False
cvrp-0-rj-103,4666,lkh-3,1,8632.4941,1173.2574204469565,144,True
cvrp-0-rj-102,3725,ortools,1,-1.0,234.50750471302308,-1,False
cvrp-0-rj-102,3725,lkh-3,1,4899.9779,494.4558377380017,121,True
cvrp-0-rj-97,3601,ortools,1,-1.0,218.29503635305446,-1,False
cvrp-0-rj-97,3601,lkh-3,1,4017.8529,454.4315950400196,118,True
cvrp-0-rj-93,4359,ortools,1,-1.0,320.35377547703683,-1,False
cvrp-0-rj-93,4359,lkh-3,1,7592.0015,1192.2540335599333,134,True
cvrp-0-rj-94,4046,ortools,1,-1.0,276.68130350194406,-1,False
cvrp-0-rj-94,4046,lkh-3,1,6041.2882,1040.890223012073,130,True
cvrp-0-rj-111,4428,ortools,1,-1.0,329.30460569204297,-1,False
cvrp-0-rj-111,4428,lkh-3,1,7362.5545,1248.144379165955,138,True
cvrp-0-rj-107,3718,ortools,1,-1.0,233.71197586494964,-1,False
cvrp-0-rj-107,3718,lkh-3,1,4631.3107,475.03168331703637,120,True
cvrp-0-rj-100,4223,ortools,1,-1.0,299.17467623297125,-1,False
cvrp-0-rj-100,4223,lkh-3,1,4324.1834,693.9694526620442,135,True
cvrp-0-rj-108,3872,ortools,1,-1.0,252.11327007296495,-1,False
cvrp-0-rj-108,3872,lkh-3,1,5868.7918,872.9670516679762,123,True
cvrp-0-rj-106,4211,ortools,1,-1.0,298.3383736509131,-1,False
cvrp-0-rj-106,4211,lkh-3,1,4272.077,713.2266851459863,134,True
cvrp-0-rj-90,4273,ortools,1,-1.0,306.65376724896487,-1,False
cvrp-0-rj-90,4273,lkh-3,1,6546.8312,740.6114118830301,136,True
cvrp-0-rj-92,4436,ortools,1,-1.0,331.37957557698246,-1,False
cvrp-0-rj-92,4436,lkh-3,1,4549.3457,835.1437001570594,144,True
cvrp-0-rj-99,4642,ortools,1,-1.0,362.7299423550721,-1,False
cvrp-0-rj-99,4642,lkh-3,1,8067.1027,1602.949315394042,144,True
cvrp-0-rj-117,4486,ortools,1,-1.0,340.55296175403055,-1,False
cvrp-0-rj-117,4486,lkh-3,1,7275.1148,1419.8938739410369,144,True
cvrp-0-rj-104,3440,ortools,1,-1.0,199.11898015404586,-1,False
cvrp-0-rj-104,3440,lkh-3,1,3900.2784,444.43563471804373,112,True
cvrp-0-rj-118,4617,ortools,1,-1.0,358.0437538299011,-1,False
cvrp-0-rj-118,4617,lkh-3,1,4808.8564,782.958879488986,154,True
cvrp-0-rj-98,4350,ortools,1,-1.0,318.4286100229947,-1,False
cvrp-0-rj-98,4350,lkh-3,1,5130.2499,701.3913125420222,146,True
cvrp-0-rj-109,4005,ortools,1,-1.0,269.3100676109316,-1,False
cvrp-0-rj-109,4005,lkh-3,1,4485.3759,675.1761908420594,131,True
cvrp-0-rj-119,4126,ortools,1,-1.0,284.8609347930178,-1,False
cvrp-0-rj-119,4126,lkh-3,1,6693.111,1080.1492362659192,130,True
cvrp-0-rj-101,3564,ortools,1,-1.0,213.89830125006847,-1,False
cvrp-0-rj-101,3564,lkh-3,1,3943.1362,454.1161125539802,113,True
cvrp-0-rj-112,4179,ortools,1,-1.0,293.7280544490786,-1,False
cvrp-0-rj-112,4179,lkh-3,1,7085.8534,1194.5217665049713,131,True
cvrp-0-rj-91,4493,ortools,1,-1.0,339.7684170899447,-1,False
cvrp-0-rj-91,4493,lkh-3,1,7678.7463,1760.6355754379183,142,True
cvrp-0-rj-110,3641,ortools,1,-1.0,224.25898218993098,-1,False
cvrp-0-rj-110,3641,lkh-3,1,3826.7086,490.5145688538905,117,True
cvrp-0-rj-113,4691,ortools,1,-1.0,372.95718421798665,-1,False
cvrp-0-rj-113,4691,lkh-3,1,8579.6372,1985.667628981988,145,True
cvrp-0-rj-114,4497,ortools,1,-1.0,341.1280958589632,-1,False
cvrp-0-rj-114,4497,lkh-3,1,8125.4253,1447.849756309064,139,True
