instance_name,instance_size,solver,replication,total_distance,total_time,num_vehicles,feasible_solution
cvrp-0-pa-118,321,ortools,1,634.2975,60.81986767495982,10,True
cvrp-0-pa-118,321,lkh-3,1,604.8434,7.066384277015459,10,True
cvrp-0-pa-109,288,ortools,1,551.8796,61.097418153018225,9,True
cvrp-0-pa-109,288,lkh-3,1,493.8359,4.891149798000697,9,True
cvrp-0-pa-93,241,ortools,1,544.6208,60.62064984900644,8,True
cvrp-0-pa-93,241,lkh-3,1,532.9647,3.4286401590215974,8,True
cvrp-0-pa-97,331,ortools,1,610.9253,60.84854409005493,10,True
cvrp-0-pa-97,331,lkh-3,1,544.0113,7.039876779948827,11,True
cvrp-0-pa-115,328,ortools,1,577.2995,60.79424525098875,11,True
cvrp-0-pa-115,328,lkh-3,1,540.0853,6.145232883980498,11,True
cvrp-0-pa-113,283,ortools,1,566.9131,60.79257885797415,10,True
cvrp-0-pa-113,283,lkh-3,1,547.5798,4.013568825961556,10,True
cvrp-0-pa-96,301,ortools,1,683.3487,60.92588528804481,10,True
cvrp-0-pa-96,301,lkh-3,1,655.1821,5.50772416498512,10,True
cvrp-0-pa-103,316,ortools,1,579.4405,61.00141983496724,11,True
cvrp-0-pa-103,316,lkh-3,1,542.9565,6.0977883620071225,11,True
cvrp-0-pa-90,297,ortools,1,570.9863,60.930611968040466,10,True
cvrp-0-pa-90,297,lkh-3,1,550.5763,5.587644845014438,10,True
cvrp-0-pa-119,292,ortools,1,631.1095,60.81824375700671,10,True
cvrp-0-pa-119,292,lkh-3,1,572.7341,5.738477778970264,10,True
cvrp-0-pa-106,323,ortools,1,629.977,61.03742893098388,10,True
cvrp-0-pa-106,323,lkh-3,1,587.4893,6.927571779000573,10,True
cvrp-0-pa-116,223,ortools,1,577.5337,60.61558497598162,7,True
cvrp-0-pa-116,223,lkh-3,1,564.9036,2.4050356170046143,8,True
cvrp-0-pa-95,318,ortools,1,648.8678,61.01484496000921,10,True
cvrp-0-pa-95,318,lkh-3,1,636.8589,6.390927212021779,10,True
cvrp-0-df-107,1102,ortools,1,1885.3045,63.93955726001877,34,True
cvrp-0-df-107,1102,lkh-3,1,1698.602,116.39114952704404,35,True
cvrp-0-df-95,998,ortools,1,1677.8332,63.33846792700933,32,True
cvrp-0-df-95,998,lkh-3,1,1595.7793,107.13521246402524,32,True
cvrp-0-df-100,1085,ortools,1,1796.1956,63.82894356996985,34,True
cvrp-0-df-100,1085,lkh-3,1,1655.2886,115.19280802598223,35,True
cvrp-0-df-114,1041,ortools,1,1808.3394,63.72026812203694,32,True
cvrp-0-df-114,1041,lkh-3,1,1616.4231,94.27250284299953,32,True
cvrp-0-df-109,1033,ortools,1,1813.9343,67.04606760700699,32,True
cvrp-0-df-109,1033,lkh-3,1,1570.8873,91.59398491802858,33,True
cvrp-0-df-112,954,ortools,1,1620.0903,63.17246358800912,30,True
