instance_name,instance_size,solver,total_distance,total_time,num_vehicles,feasible_solution
cvrp-2-df-97,3628,qrp_sweep,5253.1557,22.17647798312828,121,True
cvrp-2-df-113,4020,qrp_sweep,5840.1143,25.02970132790506,134,True
cvrp-2-df-100,4723,qrp_sweep,6531.9373,29.400084562133998,157,True
cvrp-2-df-90,4265,qrp_sweep,6122.6298,26.536498905858025,145,True
cvrp-2-df-91,3437,qrp_sweep,4998.79,21.27449184912257,118,True
cvrp-2-df-107,5020,qrp_sweep,6858.5542,30.76080482895486,164,True
cvrp-2-df-106,4385,qrp_sweep,6320.9105,114.46957875508815,148,True
cvrp-2-df-117,3283,qrp_sweep,5035.4945,20.527795250993222,112,True
cvrp-2-df-110,4918,qrp_sweep,6799.855,30.729088412132114,166,True
cvrp-2-df-99,3385,qrp_sweep,5145.2535,21.183078178903088,117,True
cvrp-2-df-109,4429,qrp_sweep,6273.9102,27.714743047952652,149,True
cvrp-2-df-118,3898,qrp_sweep,5539.2291,24.1896674700547,131,True
cvrp-2-df-112,4041,qrp_sweep,5719.6642,25.806461798027158,138,True
cvrp-2-df-114,4792,qrp_sweep,6518.3794,29.65111548290588,160,True
cvrp-2-df-98,3702,qrp_sweep,5293.9773,23.090772012947127,124,True
cvrp-2-df-95,4481,qrp_sweep,6441.5641,27.593188049970195,152,True
cvrp-2-df-105,3417,qrp_sweep,5161.493,21.48610848397948,118,True
cvrp-2-df-111,4633,qrp_sweep,6531.7771,28.22961980290711,152,True
cvrp-2-df-96,4313,qrp_sweep,6219.8854,27.05969628202729,148,True
cvrp-2-df-103,5007,qrp_sweep,6786.9143,30.794702185085043,165,True
cvrp-2-df-93,3389,qrp_sweep,5208.4088,90.14146412885748,117,True
cvrp-2-df-115,4208,qrp_sweep,5867.5119,26.238434921950102,142,True
cvrp-2-df-92,3868,qrp_sweep,5720.7461,23.82001700787805,131,True
cvrp-0-pa-108,296,kmeans_greedy,1198.5882,1.9868248021230102,10,True
cvrp-0-pa-105,333,kmeans_greedy,1193.7675,2.169971875147894,11,True
cvrp-0-pa-117,353,kmeans_greedy,1021.857,2.274144534021616,11,True
cvrp-0-pa-92,260,kmeans_greedy,852.1811,1.7334955919068307,9,True
cvrp-0-pa-101,303,kmeans_greedy,1083.0135,1.933466990943998,10,True
cvrp-0-pa-110,278,kmeans_greedy,968.0016,1.8094258508644998,10,True
cvrp-0-pa-114,318,kmeans_greedy,1050.5466,2.0860176619607955,10,True
cvrp-0-pa-99,323,kmeans_greedy,1034.5237,2.1574020381085575,10,True
cvrp-0-pa-102,307,kmeans_greedy,996.1881,2.0473472010344267,10,True
cvrp-0-pa-107,278,kmeans_greedy,963.992,1.8882495381403714,9,True
cvrp-0-pa-91,284,kmeans_greedy,1101.0265,2.0640003671869636,10,True
cvrp-0-pa-112,341,kmeans_greedy,1069.741,2.1739878449589014,11,True
cvrp-0-pa-100,298,kmeans_greedy,1013.0719,1.8569980529136956,9,True
cvrp-0-pa-94,262,kmeans_greedy,985.9382,1.7735072209034115,9,True
cvrp-0-pa-98,317,kmeans_greedy,1067.9551,2.000118251889944,10,True
cvrp-0-pa-104,335,kmeans_greedy,1219.0274,2.1899826880544424,11,True
cvrp-0-pa-111,265,kmeans_greedy,950.9045,1.6954151308164,9,True
cvrp-0-pa-118,321,kmeans_greedy,1051.1472,2.0551170450635254,10,True
cvrp-0-pa-109,288,kmeans_greedy,852.3481,1.848114303080365,9,True
cvrp-0-pa-93,241,kmeans_greedy,875.7746,1.620744553161785,8,True
cvrp-0-pa-97,331,kmeans_greedy,991.2612,2.3258227680344135,11,True
cvrp-0-pa-115,328,kmeans_greedy,967.4577,2.2987923892214894,11,True
cvrp-0-pa-113,283,kmeans_greedy,983.9975,1.8671591009479016,10,True
cvrp-0-pa-96,301,kmeans_greedy,1132.2017,2.07887194189243,10,True
cvrp-0-pa-103,316,kmeans_greedy,1001.5482,2.035615217871964,10,True
cvrp-0-pa-90,297,kmeans_greedy,948.8186,1.928625546162948,10,True
cvrp-0-pa-119,292,kmeans_greedy,1031.1002,1.9499396670144051,10,True
cvrp-0-pa-106,323,kmeans_greedy,925.6899,2.038405396975577,10,True
cvrp-0-pa-116,223,kmeans_greedy,955.3622,1.4505993050988764,7,True
cvrp-0-pa-95,318,kmeans_greedy,1095.2302,2.0088172319810838,10,True
cvrp-0-pa-108,296,qrp_sweep,1113.3289,2.812675639986992,24,True
cvrp-0-pa-105,333,qrp_sweep,1242.6114,2.90148711996153,24,True
cvrp-0-pa-117,353,qrp_sweep,1144.7286,2.956675370922312,24,True
cvrp-0-pa-92,260,qrp_sweep,1078.6091,2.739229922182858,24,True
cvrp-0-pa-101,303,qrp_sweep,1089.978,2.8297320720739663,24,True
cvrp-0-pa-110,278,qrp_sweep,1052.8828,2.7996531180106103,24,True
cvrp-0-pa-114,318,qrp_sweep,1130.6482,2.88638074696064,24,True
cvrp-0-pa-99,323,qrp_sweep,1168.2579,2.8776765030343086,24,True
cvrp-0-pa-102,307,qrp_sweep,993.9246,2.8213079560082406,24,True
cvrp-0-pa-107,278,qrp_sweep,1112.2421,2.7788166410755366,24,True
cvrp-0-pa-91,284,qrp_sweep,1105.6081,2.793589553097263,24,True
cvrp-0-pa-112,341,qrp_sweep,1110.6786,2.9219982740469277,24,True
cvrp-0-pa-100,298,qrp_sweep,1097.284,2.819878332084045,24,True
